Company Name,Year,Region,Note,Timestamp,Sentence,word_count,prob_env,prob_soc,prob_gov,env_flag,soc_flag,gov_flag,ESG_multilabel,sentence_id,specificity_short_reason_pred,corporate_relevance_pred,specificity_tier_pred,custom_id,sent_label,is_corporate_tier1plus,is_corporate_tier2plus,is_tier2plus,is_tier1plus,tier_if_corp_t1p,tier_if_t1p_allrelevance,is_corp_t1p_positive,is_corp_t1p_negative,polarity_sentence_id,case,polarity,short_reason
AIG,2012,N. America,,02/08/2026 23:04:50,Even with Storm Sandy – the second largest catastrophic event for AIG in the U.S. – we earned a profit in 2012.,22,0.9277098774909970,0.0001256465911865,0.0008977651596069,1,0,0,E,env_0,"Rule 4: the main clause is our profit result, while Storm Sandy is a contextual catastrophe mention; named event makes it concrete but not a corporate ESG claim.",Corporate,2,specificity_env_full_0_19,positive,TRUE,TRUE,TRUE,TRUE,2.0,2.0,TRUE,FALSE,pol_0,mitigated_negative,positive,"""Storm Sandy"" is named as a catastrophic event, but the sentence reports the completed positive outcome that AIG still earned a profit in 2012 despite it."
AIG,2013,N. America,,12/09/2025 16:13:50,"We became a stronger, and more efficient and sustainable company, thanks in part to our continued progress in such areas as technology, operations, and our centers of excellence.",28,0.809947669506073,0.0002931952476501,0.0013929009437561,1,0,0,E,env_2,"Delete-the-trigger test: 'sustainable company' is a generic durability claim, but the sentence also has real corporate improvement language with no named ESG program or metric.",Corporate,1,specificity_env_full_0_19,positive,TRUE,FALSE,FALSE,TRUE,1.0,1.0,TRUE,FALSE,pol_1,plain_positive,positive,"This is a straightforward positive statement about becoming stronger, more efficient, and more sustainable, with no reduction/avoidance vocabulary."
AIG,2014,N. America,,12/09/2025 16:17:33,"From cyber-risk insurance to crisis management and environmental consulting, our innovative offerings and investments in loss control services are increasingly differen- tiating AIG and opening up new avenues to expand client relationships.",32,0.951693832874298,0.0001310110092163,0.0019826889038085,1,0,0,E,env_5,"Named business line rule: 'environmental consulting' is a specific, checkable offering, so this is a corporate ESG-related activity without a number.",Corporate,2,specificity_env_full_0_19,positive,TRUE,TRUE,TRUE,TRUE,2.0,2.0,TRUE,FALSE,pol_2,plain_positive,positive,"The sentence describes innovative offerings and investments that are differentiating AIG and opening new avenues for growth, which is ordinary positive news."
AIG,2017,N. America,,14/09/2025 14:33:22,AIG provided $1 million in aid to organizations focused on emergency relief and ongoing recovery following Hurricane Harvey.,18,0.9878679513931270,0.0014688968658447,0.0008430480957031,1,0,0,E,env_10,"Quantified corporate aid: 'provided $1 million' is a specific, verifiable contribution tied to Hurricane Harvey relief.",Corporate,3,specificity_env_full_0_19,positive,TRUE,TRUE,TRUE,TRUE,3.0,3.0,TRUE,FALSE,pol_3,plain_positive,positive,"Providing $1 million in aid for emergency relief and recovery is a concrete positive action, with no negative/reduction framing."
AIG,2017,N. America,,14/09/2025 14:33:22,The AIG local team tirelessly helped the community to rebuild in the aftermath of Hurricane Maria.,16,0.8635393977165220,0.9989268183708190,0.0014295578002929,1,1,0,"E,S",env_12,Named disaster response: 'Hurricane Maria' plus the local team helping rebuild is a concrete corporate community-response claim without a number.,Corporate,2,specificity_env_full_0_19,positive,TRUE,TRUE,TRUE,TRUE,2.0,2.0,TRUE,FALSE,pol_4,plain_positive,positive,"Helping the community rebuild after Hurricane Maria is a positive completed action, not a reduction or avoidance statement."
AIG,2019,N. America,,14/09/2025 14:36:06,"We also aim to make a difference through our commitment to sustainability and corporate citizenship, while continuing to build a culture that values diversity and inclusion.",26,0.959723174571991,0.9995824694633480,0.7150415182113650,1,1,1,"E,S,G",env_16,"Generic corporate commitment to 'sustainability and corporate citizenship' with diversity and inclusion, but no named initiative or metric.",Corporate,1,specificity_env_full_0_19,positive,TRUE,FALSE,FALSE,TRUE,1.0,1.0,TRUE,FALSE,pol_5,ambiguous_scale,neutral,"This is a vague forward-looking commitment to sustainability and inclusion with no concrete completed outcome, fitting pattern (b)."
AIG,2019,N. America,,14/09/2025 14:36:06,"I believe that a continued commitment to sustainability can deliver long-term value to our company, our stakeholders and our global community.",21,0.974675953388214,0.9994100332260130,0.0081499814987182,1,1,0,"E,S",env_17,"Generic stakeholder-benefit framing: commitment to sustainability delivering long-term value to company, stakeholders, and community is intentional ESG language but unquantified.",Corporate,1,specificity_env_full_0_19,positive,TRUE,FALSE,FALSE,TRUE,1.0,1.0,TRUE,FALSE,pol_6,ambiguous_scale,neutral,"This is a general belief about what a commitment to sustainability can do, not a reported company outcome, fitting pattern (a) as a generic rationale."
AIG,2019,N. America,,14/09/2025 14:36:06,We reached several sustainability leadership and reporting milestones last year.,10,0.99797385931015,0.9966955184936530,0.8671668767929080,1,1,1,"E,S,G",env_18,"Named but unquantified corporate milestone: 'sustainability leadership and reporting milestones' are specific ESG achievements, but no number is given.",Corporate,2,specificity_env_full_0_19,positive,TRUE,TRUE,TRUE,TRUE,2.0,2.0,TRUE,FALSE,pol_7,plain_positive,positive,Reaching several sustainability leadership and reporting milestones is a completed achievement and straightforwardly positive.
AIG,2019,N. America,,14/09/2025 14:36:06,We appointed AIG’s first Chief Sustainability Officer to lead the development of a company-wide sustainability strategy and program.,18,0.925209105014801,0.9993079900741580,0.0776605606079101,1,1,0,"E,S",env_19,"Named corporate role and program: 'first Chief Sustainability Officer' and a company-wide sustainability strategy are specific, checkable ESG commitments without a figure.",Corporate,2,specificity_env_full_0_19,neutral,TRUE,TRUE,TRUE,TRUE,2.0,2.0,FALSE,FALSE,pol_8,plain_positive,positive,Appointing the first Chief Sustainability Officer to lead a company-wide strategy is a concrete positive governance action.
AIG,2019,N. America,,14/09/2025 14:36:06,We also published our inaugural Task Force on Climate- related Financial Disclosures (TCFD) report to provide greater transparency and align reporting activities in this area with industry standards.,28,0.9873290061950680,0.0002922415733337,0.8684049844741820,1,0,1,"E,G",env_20,Corporate: 'We published' is the firm’s own action; Tier 2 because 'TCFD report' names a specific framework/report with no figure (Rule 6).,Corporate,2,specificity_env_full_20_39,positive,TRUE,TRUE,TRUE,TRUE,2.0,2.0,TRUE,FALSE,pol_9,plain_positive,positive,Publishing the inaugural TCFD report to provide greater transparency is a concrete positive action with no reduction vocabulary.
